balance,address,isContract,pendingReward,totalThalesLP,totalWETHLP,totalThales
702.2967847957098,0xe34dc471b6921a1d8afe9b6acc02432574ff7a24,,146.9475911766387,1338.1497833021383,0.25495666185947163,1485.097374478777
689.8993637786978,0x5beed0516cbf1857183c9fe25179eb3b3c2fdf43,,1074.000335596144,1314.5278522231774,0.2504559932723539,2388.5281878193214
624.5126167661562,0xbbbed66bab4a426f42e9359ec32f2d47276139df,,,1189.9405506151882,0.22671846932367637,1189.9405506151882
509.29953312050645,0x5d47e871f81f84d3154aec772bcce14973112c69,,146.8983160847723,970.4146090877123,0.18489235841904564,1117.3129251724845
503.27429585073014,0x68c196c0933e809e24d7b7265a68ed6eda24d086,,861.5119956960127,958.9341778491719,0.18270500057479708,1820.4461735451846
409.8922108746253,0x23a2b7ef057bc535168e7541f77b21690acfe6ef,,720.8212796248965,781.004818808427,0.14880425493787833,1501.8260984333235
394.7977299256249,0xc71aa06eaa903cb8ac2eb46ecbae77a143c1cc52,,468.05137940475726,752.2439347374018,0.14332446554032613,1220.295314142159
379.70690617334543,0x334bc680d521d64f48bd09b10bd24e598dc0da0d,,686.2606614631898,723.4900190551057,0.13784600382458584,1409.7506805182954
352.4696488269584,0xbdb3d2d8e1f390a1070210e612ef5082cd2bce27,,246.31481795461,671.5924014027416,0.12795799015062004,917.9072193573517
329.4905348244693,0x24f99023f6741b27d3bf6189c7f3ae2fa45eed8f,,228.91224207067899,627.8082106039035,0.11961582153273707,856.7204526745825
288.4945506433443,0x378c34bdd07c8865ea3d1972308191e7caf58f07,,487.7664895880341,549.6948423870917,0.1047329408151445,1037.4613319751259
286.7838019519623,0x521d155cee171dad885eae47a97a8c489c3c70c9,,531.6574020750872,546.4351976895538,0.10411188318669175,1078.092599764641
284.1166046298568,0x5e968bc1086d87158f1779fc851cf69355953fd6,,518.6608054230871,541.3531446375272,0.10314360347861598,1060.0139500606142
273.3105136012877,0x86bb864b38cb0c13ae0f2e6560ffef3b3667f8d1,,503.7180732944466,520.7633189665621,0.09922063963193543,1024.4813922610088
271.03312814197926,0xf0c34155f57d6953ed22cbecab9764c7c9da2fbb,,499.1371990083753,516.4240098242662,0.09839387435685093,1015.5612088326416
214.2592864185641,0x2226f49efe9f1b59b0243b54db33bb3f0b8b0679,,273.6989678052989,408.24765811062815,0.07778311622708035,681.946625915927
211.93534449675437,0x973f891536483cc32ccb9a93c152dee1dbc229f2,,54.63856758351254,403.8196407162711,0.07693944943610644,458.4582082997837
176.39918543679397,0x388e2ac942b8f08d1ce55a5188e0dd3988b3a43c,,304.77897551408734,336.1093726715315,0.06403866349292399,640.8883481856188
168.9778050711247,0x9ef4c5a9296fb3021384bda8f2e29311074d988b,,122.32243993273987,321.9687433206341,0.061344460122804804,444.29118325337396
141.56422627932,0xa9214877410560b17560955ca84eabde4e30dcca,,254.38866921030785,269.73516442071025,0.05139243600751111,524.1238336310181
141.4592207770242,0x3be8c0e364f52bc04a0763acd0a2de183e8c3d3a,,262.82041469698385,269.5350879100602,0.051354315581899304,532.3555026070441
138.27546706483417,0x72c53e2496414345608fe066ef586ba0898bfbbc,,254.670916891074,263.4687931009593,0.050198509039400624,518.1397099920333
136.0764077483961,0x81c288d8e25d6a1af714a3fadecaa90b0b5936c0,,,259.2787258651878,0.049400178711413834,259.2787258651878
136.07640774839592,0xb24ce065a3a9bbcced4b74b6f4435b852286396d,,,259.2787258651875,0.04940017871141378,259.2787258651875
136.06312014984042,0xd18a8a30372b7a9fb8aa0ee8b85524a3a6ea3928,,250.9544138279806,259.25340779807885,0.04939535487931717,510.20782162605946
132.3159860734406,0x77bfecac1d1eb046d8a75c1d4cdabe267180646c,,76.23462897191416,252.11365326567406,0.04803502287105278,328.34828223758825
131.5188600005832,0x8a9b0848e2c19de117a3f2c23a5fef709e63cbb5,,223.83081452725804,250.5948166359878,0.04774564008158723,474.42563116324584
131.33473234499942,0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084,,238.4242847167562,250.24398150794283,0.047678795731107525,488.66826622469904
130.8831965580672,0xf38b740359d0a7ee22580c91e10083bb1a4988c7,,,249.3836294053595,0.047514873498457955,249.3836294053595
