totalEscrowed,isContract,totalStaked,unstaking,unstakingAmount,wallet
164613742010762724431189,,94140925255309130986374,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x27cc4d6bc95b55a3a981bf1f1c7261cda7bb0931
10671223813268684500000,,31720728676001724291155,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x0fb637f98174740397a319d3686acb730f7353d1
777674527324366700000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x230a923945889e808f8d546795e21c6a26213394
10699333498221921558,,0,,,0x65b435425e7928c594997f38681b542234be91d3
15420860018279416457458,,61513420071839361337111,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x8c42138c925d1049ec6b29f1ecf817b1628e54ba
23938645541150016156273,,21884321239393964490645,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7113fbdc1c6ef083a72ba152b446b10654e4e05e
13738612594056334119777,,12557011543116953129496,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc6a21511ebd02525cf94bd1dd379fde007550dea
8813375454123094894283,,0,,,0xc34a7c65aa08cb36744bda8eeec7b8e9891e147c
25015326031567836400847,,0,,,0xa5f7a39e55d7878bc5bd754ee5d6bd7a7662355b
975212324150586670000,,4583566639427266153967,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x98bc51fe6e87d09dedc88d1acfcc618cf12ef571
29929075468111381771,,0,,,0x344215ca4219520166c7478c0afb07c92e14b790
8634083135537077499854,,1716991176556361461529,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x85257f61bcf59f7498007d8e08d6efb7ac1eef4c
4315698304302715049573,,9940089622753960509246,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x16b8cc5b1558b365d9844385425b13bde0ceaa49
9778160085550810239,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xe596b99eece300f0ba4b0311dc57337661ad4b68
2343424402548009490450,,1186948853405647105269,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x1d3666a6b38a3b7eb22a98f62b2e52a44890450f
3400565098645651720130,,5725691170829548513094,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xd1c4bbc87fa736e9514d03adff789395ed123baa
8263717252384831791469,,0,,,0xb5a9621b0397bfc5b45896cae5998b6111bcdce6
1186558707637088110000,,5641198115330583237925,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7c52606470fd31e00ee707514d4deaec29b352f0
1438345242655470216465,,1771423764651825730227,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7e935fac4448102c16fa83abc01ac57d38123dca
4594157740942333660000,,22340816818355170182045,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x752cdfdffaeebe73bb1388f69f94553ade64c988
3442380717693698350000,,10983907222884245606457,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x613d048cbd27c709d9a75a18a420882a144c3a5e
11595521913698535190387,,49841783497617699467398,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x70265950add51748aa041de8accce6747507adce
5231776724758137250000,,14751076751235663657130,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x214f7b85a0f0aa067bcc2ea6263dd4b0ede8957c
661978786372295808532,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xbcbe92712d4b4d99b7cdeed533141fd323820375
284243868946899783000,,966755679443523593431,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x843bf3483732ee72045801ddd415e5f119282c34
414347235426736902000,,1745567658567346894163,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xfb5046f70531e73697329fb491a124a14bf32a42
6396394806084831077238,,996063334896293078192,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xdcb7e8f1b586c94dde9b430557e4df6727779aca
2684575851898371013194,,3695687072773534032371,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x1f7d1970b0e9f229df8d81f1f358f08ee52462fd
12353225960041112377639,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xbbb33d2e7bd7ddc722e53da9ca8ee97df41cfabf
116657025959169929744,,285550099841592182616,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xd7ccdf5d758280995dc0f37bc8668c36bc490554
1558107236629511860000,,5360837475447380101018,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x9d89d94b429340feb333958216ef6c5c4c1c93c7
2684498327665796989803,,0,,,0x06517e034ce7bda386840ce9e5a02c3c53b47220
2114800218833524061116,,6810355718194236415654,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x8dbce5563c2d86857a7d559453282f315f90bfb8
1441405579057073150000,,6298872910370898162274,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xa341c5b993e0dbf832994bbe9306618fe1e53bb1
1724229894410766902614,,8019401434723327125021,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x36d960741d2ea0bfccfa23838828af528e38cd9a
3043772895035639261670,,11140875579224004200460,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x58f2413991651f4f259f8f604efe65f97afd30b0
647996264293234267596,,1634296142970250729866,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xab7ab9b6495072c1136f96e301bd8f8de900f119
